csv_index,dish_name,diet_type,meal_type,goal,dish_calories,dish_protein_g,dish_fat_g,dish_carbs_g,food_item,role_in_dish,quantity, In_Grams , Price_Per_Gram , Price_Per_Portion 
362,Grilled Salmon with Tabbouleh,Mediterranean,Dinner,Heart health,520,42,20,38,salmon cooked,base,180g, 180 ," 2,880 "," 4,381 "
773,Grilled Salmon with Tabbouleh,Mediterranean,Dinner,Heart health,520,42,20,38,bulgur dry,base,0.5 cup, 70 , 210 ," 4,381 "
169,Grilled Salmon with Tabbouleh,Mediterranean,Dinner,Heart health,520,42,20,38,pasta with meatballs in tomato sauce,mix-in,2 diced, 246 , 492 ," 4,381 "
1633,Grilled Salmon with Tabbouleh,Mediterranean,Dinner,Heart health,520,42,20,38,cucumber,mix-in,1 diced, 200 , 360 ," 4,381 "
2009,Grilled Salmon with Tabbouleh,Mediterranean,Dinner,Heart health,520,42,20,38,parsley fresh,herb,large bunch, 5 , 20 ," 4,381 "
83,Grilled Salmon with Tabbouleh,Mediterranean,Dinner,Heart health,520,42,20,38,lemon chicken,dressing,juice of 2, 38 , 77 ," 4,381 "
1155,Grilled Salmon with Tabbouleh,Mediterranean,Dinner,Heart health,520,42,20,38,olive oil,dressing,2 tbsp, 28 , 336 ," 4,381 "
2015,Grilled Salmon with Tabbouleh,Mediterranean,Dinner,Heart health,520,42,20,38,garlic,flavor,1 cloves, 4 , 6 ," 4,381 "
358,Mediterranean Baked Cod,Mediterranean,Dinner,Heart health,340,40,10,20,cod raw,base,200g, 200 ," 1,600 "," 2,963 "
169,Mediterranean Baked Cod,Mediterranean,Dinner,Heart health,340,40,10,20,pasta with meatballs in tomato sauce,sauce,3 chopped, 369 , 738 ," 2,963 "
1601,Mediterranean Baked Cod,Mediterranean,Dinner,Heart health,340,40,10,20,olives,add-in,10 kalamata, 40 , 200 ," 2,963 "
2015,Mediterranean Baked Cod,Mediterranean,Dinner,Heart health,340,40,10,20,garlic,flavor,3 cloves, 12 , 18 ," 2,963 "
1155,Mediterranean Baked Cod,Mediterranean,Dinner,Heart health,340,40,10,20,olive oil,drizzle,2 tbsp, 28 , 336 ," 2,963 "
2010,Mediterranean Baked Cod,Mediterranean,Dinner,Heart health,340,40,10,20,oregano dried,herb,1 tsp, 1 , 4 ," 2,963 "
83,Mediterranean Baked Cod,Mediterranean,Dinner,Heart health,340,40,10,20,lemon chicken,flavor,slices on top, 20 , 40 ," 2,963 "
1764,Mediterranean Baked Cod,Mediterranean,Dinner,Heart health,340,40,10,20,capers canned,topping,1 tbsp, 9 , 27 ," 2,963 "
663,Chickpea & Spinach Stew,Mediterranean,Lunch,Heart health,310,16,8,44,chickpea flour,base,1 cup, 120 , 600 ," 1,842 "
94,Chickpea & Spinach Stew,Mediterranean,Lunch,Heart health,310,16,8,44,spinach souffle,veggie,2 cup, 170 , 340 ," 1,842 "
169,Chickpea & Spinach Stew,Mediterranean,Lunch,Heart health,310,16,8,44,pasta with meatballs in tomato sauce,sauce,2 chopped, 246 , 492 ," 1,842 "
2015,Chickpea & Spinach Stew,Mediterranean,Lunch,Heart health,310,16,8,44,garlic,flavor,3 cloves, 12 , 18 ," 1,842 "
1019,Chickpea & Spinach Stew,Mediterranean,Lunch,Heart health,310,16,8,44,cumin seeds,spice,1 tsp, 2 , 12 ," 1,842 "
1155,Chickpea & Spinach Stew,Mediterranean,Lunch,Heart health,310,16,8,44,olive oil,cooking,2 tbsp, 28 , 336 ," 1,842 "
83,Chickpea & Spinach Stew,Mediterranean,Lunch,Heart health,310,16,8,44,lemon chicken,finish,juice of 1, 19 , 38 ," 1,842 "
1988,Chickpea & Spinach Stew,Mediterranean,Lunch,Heart health,310,16,8,44,paprika,spice,0.5 tsp, 1 , 6 ," 1,842 "
493,Sardine & Whole Grain Toast,Mediterranean,Breakfast,Heart health,360,34,14,28,sardine canned in oil,base,1 tin, 100 , 500 , 870 
650,Sardine & Whole Grain Toast,Mediterranean,Breakfast,Heart health,360,34,14,28,whole grain wheat flour,base,2 slices, 70 , 105 , 870 
1702,Sardine & Whole Grain Toast,Mediterranean,Breakfast,Heart health,360,34,14,28,avocado,spread,0.25 mashed, 50 , 200 , 870 
83,Sardine & Whole Grain Toast,Mediterranean,Breakfast,Heart health,360,34,14,28,lemon chicken,flavor,squeeze, 10 , 19 , 870 
1377,Sardine & Whole Grain Toast,Mediterranean,Breakfast,Heart health,360,34,14,28,red wine vinegar,flavor,dash, 2 , 3 , 870 
2015,Sardine & Whole Grain Toast,Mediterranean,Breakfast,Heart health,360,34,14,28,garlic,rub,0.5 cloves, 2 , 3 , 870 
2009,Sardine & Whole Grain Toast,Mediterranean,Breakfast,Heart health,360,34,14,28,parsley fresh,garnish,sprigs, 10 , 40 , 870 
2063,Lentil & Feta Salad,Mediterranean,Lunch,Heart health,350,20,10,46,lentils raw,base,0.5 cup, 100 , 200 ," 1,779 "
36,Lentil & Feta Salad,Mediterranean,Lunch,Heart health,350,20,10,46,feta cheese,topping,40g, 40 , 360 ," 1,779 "
1633,Lentil & Feta Salad,Mediterranean,Lunch,Heart health,350,20,10,46,cucumber,add-in,1 diced, 200 , 360 ," 1,779 "
169,Lentil & Feta Salad,Mediterranean,Lunch,Heart health,350,20,10,46,pasta with meatballs in tomato sauce,add-in,2 diced, 246 , 492 ," 1,779 "
1377,Lentil & Feta Salad,Mediterranean,Lunch,Heart health,350,20,10,46,red wine vinegar,dressing,1 tbsp, 15 , 23 ," 1,779 "
1155,Lentil & Feta Salad,Mediterranean,Lunch,Heart health,350,20,10,46,olive oil,dressing,2 tbsp, 28 , 336 ," 1,779 "
2015,Lentil & Feta Salad,Mediterranean,Lunch,Heart health,350,20,10,46,garlic,flavor,1 cloves, 4 , 6 ," 1,779 "
2010,Lentil & Feta Salad,Mediterranean,Lunch,Heart health,350,20,10,46,oregano dried,herb,0.5 tsp, 1 , 2 ," 1,779 "
508,Shrimp & Couscous Bowl,Mediterranean,Dinner,Heart health,460,32,10,58,shrimp cooked,base,200g, 200 ," 3,000 "," 4,477 "
780,Shrimp & Couscous Bowl,Mediterranean,Dinner,Heart health,460,32,10,58,couscous dry,base,0.5 cup, 88 , 219 ," 4,477 "
1633,Shrimp & Couscous Bowl,Mediterranean,Dinner,Heart health,460,32,10,58,cucumber,mix-in,diced, 200 , 360 ," 4,477 "
169,Shrimp & Couscous Bowl,Mediterranean,Dinner,Heart health,460,32,10,58,pasta with meatballs in tomato sauce,mix-in,2 diced, 246 , 492 ," 4,477 "
1155,Shrimp & Couscous Bowl,Mediterranean,Dinner,Heart health,460,32,10,58,olive oil,dressing,2 tbsp, 28 , 336 ," 4,477 "
