food_item,usage_notes,quantity,grams
salmon cooked,180g grilled fillet,180g,180.0
bulgur dry,½ cup cooked,0.5 cup,70.0
pasta with meatballs in tomato sauce,2 diced,2 diced,246.0
cucumber,1 diced,1 diced,200.0
parsley fresh,large bunch,large bunch,5.0
lemon chicken,juice of 2,juice of 2,38.4
olive oil,2 tbsp,2 tbsp,28.0
garlic,1 clove,1 cloves,4.0
cod raw,200g fillet,200g,200.0
pasta with meatballs in tomato sauce,3 chopped,3 chopped,369.0
olives,10 kalamata,10 kalamata,40.0
garlic,3 cloves,3 cloves,12.0
olive oil,2 tbsp,2 tbsp,28.0
oregano dried,1 tsp,1 tsp,1.0
lemon chicken,slices on top,slices on top,20.0
capers canned,1 tbsp,1 tbsp,9.0
chickpea flour,as roasted chickpeas 1 cup,1 cup,120.0
spinach souffle,2 cups,2 cup,170.0
pasta with meatballs in tomato sauce,2 chopped,2 chopped,246.0
garlic,3 cloves,3 cloves,12.0
cumin seeds,1 tsp,1 tsp,2.0
olive oil,2 tbsp,2 tbsp,28.0
lemon chicken,juice of 1,juice of 1,19.2
paprika,½ tsp,0.5 tsp,1.1
sardine canned in oil,1 tin drained,1 tin,100.0
whole grain wheat flour,2 slices toast,2 slices,70.0
avocado,¼ mashed,0.25 mashed,50.0
lemon chicken,squeeze,squeeze,9.6
red wine vinegar,dash,dash,2.0
garlic,½ clove rubbed,0.5 cloves,2.0
parsley fresh,sprigs,sprigs,10.0
lentils raw,½ cup cooked,0.5 cup,100.0
feta cheese,40g crumbled,40g,40.0
cucumber,1 diced,1 diced,200.0
pasta with meatballs in tomato sauce,2 diced,2 diced,246.0
red wine vinegar,1 tbsp,1 tbsp,15.0
olive oil,2 tbsp,2 tbsp,28.0
garlic,1 clove,1 cloves,4.0
oregano dried,½ tsp,0.5 tsp,0.5
shrimp cooked,200g,200g,200.0
couscous dry,½ cup dry,0.5 cup,87.5
cucumber,diced,diced,200.0
pasta with meatballs in tomato sauce,2 diced,2 diced,246.0
olive oil,2 tbsp,2 tbsp,28.0
lemon chicken,juice of 1,juice of 1,19.2
garlic,2 cloves,2 cloves,8.0
parsley fresh,chopped,chopped,5.0
yogurt,1 cup plain,1 cup,245.0
honey,1 tbsp,1 tbsp,21.0
walnut,20g,20g,20.0
