Unnamed: 0,food,price_per_100g_amd
0,cream cheese,900
1,neufchatel cheese,900
2,requeijao cremoso light catupiry,300
3,ricotta cheese,900
4,cream cheese low fat,900
5,cream cheese fat free,900
6,gruyere cheese,1800
7,cheddar cheese,900
8,parmesan cheese,1400
9,romano cheese,1400
10,parmesan cheese grated,1400
11,port salut cheese,1400
12,swiss cheese,1400
13,goat cheese hard,900
14,gouda cheese,1400
15,pepper jack cheese lucerne,900
16,caraway cheese,1000
17,gjetost cheese,1800
18,tilsit cheese,1000
19,goat cheese,900
20,brick cheese,1000
21,asadero cheese,1000
22,camembert cheese,1800
23,provolone cheese reduced fat,1400
24,roquefort cheese,1800
25,queso blanco cheese,1000
26,queso seco cheese,1000
27,goat cheese soft,900
28,mozzarella cheese,900
29,chihuahua cheese,1000
30,limburger cheese,1800
31,muenster cheese,1400
32,queso fresco cheese,1000
33,brie cheese,1800
34,pimento cheese,1000
35,mexican cheese,1000
36,feta cheese,900
37,mozzarella cheese fat free,900
38,provolone cheese,1400
39,anejo cheese,1000
40,honey,700
41,apple butter,350
42,fruit jam,350
43,chocolate hazelnut spread,700
44,peanut butter,700
45,peanut spread,400
46,chicken spread,400
47,cheese spread,1000
48,tahini,800
49,orange marmalade,350
50,american cheese spread,900
51,apricot jam,350
52,chunky peanut butter,700
53,ham and cheese spread,1000
54,chicken and rice casserole homade,200
55,picnic loaf,300
56,corn tamale,160
57,baked potato with cheese sauce bacon,1000
58,chinese egg roll,400
59,butter croissant,700
60,enchilada with cheese beef,1000
61,corned beef hash with potatoes,140
62,biscuit with egg cheese bacon,1000
63,bagel with ham egg cheese,1000
64,quesadilla with chicken,900
65,corn rice,200
66,kung pao chicken,900
67,beef empanada,1400
68,frijoles with cheese,1000
69,burrito with beef,1400
70,crispy chicken sandwich,900
71,enchilada with cheese,1000
72,pork egg roll,900
73,corn on the cob with butter,700
74,pancakes with butter syrup,700
75,burrito with beans,190
76,scrambled eggs,250
77,baked potato with sour cream,350
78,turkey and gravy,150
79,chicken egg roll,900
80,vegetable egg roll,400
81,ham cheese roll,1000
82,biscuit with ham,220
83,lemon chicken,200
84,hummus,500
85,croissant with egg cheese,1000
86,enchirito with cheese beef beans,1000
87,sweet sour pork,900
88,crab cake,2000
89,egg dinner roll,300
90,english muffin with egg cheese sausage,1000
91,buttermilk pancakes,700
92,omelet,300
93,taco with chicken cheese lettuce,1000
94,spinach souffle,200
95,english muffin with cheese sausage,1000
96,potato gratin,140
97,biscuit with egg,220
98,french fries deep fried,300
99,sweet sour chicken,900
100,burrito with beans beef,190
101,nachos with cinnamon sugar,140
102,arroz con grandules,300
103,chili con carne,150
104,arroz con abichuelas,300
105,biscuit with sausage,220
106,vegetarian stew,150
107,chicken sandwich with cheese,1000
108,biscuit with egg steak,220
109,taco salad,200
110,succotash,300
111,nachos with cheese jalapeno peppers,1000
112,biscuit with egg ham,220
113,ladyfingers,300
114,mozzarella steak fried,900
115,tamale navajo,400
116,blueberry pancakes,250
117,chimichanga with beef cheese,1000
118,egg cheese sandwich,1000
119,biscuit with egg bacon,220
120,pupusas con queso,300
121,apple croissant,350
122,refried red beans,190
123,tostada with guacamole,300
124,chicken sandwich,900
125,fried rice,200
126,pupusas del cerdo,300
127,turkey pot pie,500
128,cheese croissant,1000
129,chimichanga with beef,1400
130,french toast with butter,700
131,ham egg cheese sandwich,1000
132,english muffin with butter,700
133,savoury noodle one pan dinner tandaco,200
134,ham cheese sandwich,1000
135,sweet gefilte fish,800
136,poached egg,250
137,tostada with beef cheese,1000
138,tostada with beans cheese,1000
139,pork tamale,900
140,nachos with cheese,1000
141,pulled pork in barbecue sauce,300
142,baked potato with cheese sauce,1000
143,baked beans,190
144,arroz con frijoles,300
145,taco with beef cheese lettuce,1000
146,burrito with beans cheese beef,1000
147,egg mix,300
148,falafel,300
149,taco salad with chili con carne,200
150,wonton wrappers,400
151,hushpuppies,500
152,chicken pot pie,900
153,general tsos chicken,900
154,burrito with beans cheese,1000
155,vegetarian fillets,300
156,biscuit with egg sausage,220
157,chicken chow mein,900
158,fruit burrito,400
159,arroz con leche,300
160,caramel custard flan,500
161,gelatin dessert,400
162,chocolate milk dessert,150
163,chocolate mousse,90
164,dulce de leche,300
165,apple crisp,200
166,spinach spaghetti cooked,120
167,corn pasta cooked,120
168,spaghetti with meat sauce,200
169,pasta with meatballs in tomato sauce,200
170,cheese tortellini,1000
171,pasta with sliced franks in tomato sauce,200
172,lasagna,250
173,macaroni cheese,1000
174,vegetable lasagna,250
175,spinach egg noodles cooked,120
176,cheese lasagna,1000
177,pasta with tomato sauce,200
178,spinach pasta cooked,120
179,vegetable chicken soup,900
180,bean ham soup,190
181,cream of chicken soup,400
182,tomato soup canned,120
183,egg drop soup,150
184,scotch broth,150
185,cream of onion soup,400
186,chicken broth dry,900
187,vegetable soup with beef broth,1400
188,chili with beans canned,130
189,beef noodle soup,200
190,consomme dry,150
191,chicken mushroom soup,300
192,beef vegetable soup,1400
193,black bean soup,200
194,split pea soup with ham bacon,200
195,cream of mushroom soup,400
196,green pea soup,150
197,chicken broth soup,900
198,chicken mushroom chowder soup,300
199,chicken dumplings soup,900
200,chicken vegetable soup,900
201,turkey vegetable soup,150
202,wonton soup,400
203,beef stock,1400
204,mushroom barley soup,300
205,gazpacho soup,150
206,beef mushroom soup,300
207,chicken rice soup,200
208,pepperpot soup,180
209,vegetable soup,150
210,chili beef soup,1400
211,chicken soup,900
212,bean with frankfurters soup,190
213,pea soup,150
214,turkey soup,150
215,stockpot soup,150
216,hot sour soup,150
217,cheese soup,1000
218,cream of potato soup,400
219,bean with bacon soup,190
220,fish stock,800
221,split pea soup with ham,200
222,beef broth soup,1400
223,lentil soup with ham,200
224,tomato soup,180
225,fish broth,800
226,chili without beans canned,130
227,minestrone soup,150
228,clam chowder soup,2000
229,tomato vegetable soup,180
230,cream of rice coup,200
231,cream of celery soup,400
232,chicken gravy,150
233,tomato rice soup,200
234,vegetable beef soup,1400
235,tomato beef noodle soup,200
236,oyster stew soup,2000
237,ramen noodle soup dry,200
238,chicken noodle soup,200
239,chicken bouillon dry,900
240,cream of asparagus soup,400
241,turkey noodle soup,200
242,cream of shrimp soup,400
243,bean with pork soup,190
244,chicken broth,900
245,beef broth powder,1400
246,split pea soup,200
247,escarole soup,150
248,chicken stock,900
249,tomato bisque soup,180
250,shark fin soup,150
251,onion soup,150
252,chicken gumbo soup,900
